year_-_month,indoor_growing_area_square_meters,processing_area_square_meters,total_building_area_square_meters,outdoor_growing_area_hectares,employment_estimate_-_low,employment_estimate -_high
2018-10 ,452896,n/a / n/d,n/a / n/d,n/a / n/d,5167,6468
2018-11 ,474069,n/a / n/d,n/a / n/d,n/a / n/d,5614,6758
2018-12 ,569466,n/a / n/d,n/a / n/d,n/a / n/d,6417,7400
2019-01 ,610833,n/a / n/d,n/a / n/d,n/a / n/d,4984,6945
2019-02 ,609746,n/a / n/d,n/a / n/d,n/a / n/d,4750,6640
2019-03 ,699724,n/a / n/d,n/a / n/d,n/a / n/d,5333,7742
2019-04 ,819810,n/a / n/d,n/a / n/d,n/a / n/d,5618,8110
2019-05 ,1236653,n/a / n/d,n/a / n/d,n/a / n/d,6429,9113
2019-06 ,1537774,n/a / n/d,n/a / n/d,n/a / n/d,6745,8825
2019-07 ,1658136,n/a / n/d,n/a / n/d,n/a / n/d,7192,10068
2019-08 ,1799095,n/a / n/d,n/a / n/d,n/a / n/d,7922,11111
2019-09 ,1475888,n/a / n/d,n/a / n/d,n/a / n/d,8110,11017
2019-10 ,1366861,130269,2778948,232,10744,13223
2019-11 ,1521631,152134,2937222,232,11236,13507
2019-12 ,1587035,173758,3108675,232,11863,13655
2020-01 ,1832522,238600,3617722,248,9477,13779
2020-02 ,1883239,317329,3682333,315,9494,13595
2020-03 ,2016458,336456,4046415,336,9902,14017
2020-04 ,2114258,354889,4079062,364,10789,15011
2020-05 ,2217216,399778,4224727,401,11121,14870
2020-06 ,1965437,337202,3695847,510,11064,14859
2020-07 ,1985302,347157,3729188,531,11469,15076
2020-08 ,2004180,360534,3812595,544,11853,15730
2020-09 ,1998001,362167,3887057,586,12059,15920
2020-10 ,2040093,284073,3987142,576,12413,16016
2020-11 ,2088323,279664,4051573,619,12593,16189
2020-12 ,1741527,287546,3752373,628,12378,15453
2021-01 ,1788608,339896,4163503,629,11465,15058
2021-02 ,1833431,354548,4380482,642,11887,15920
2021-03 ,1822985,351575,4354409,587,11971,16189
2021-04 ,1862776,524161,4402778,641,12794,16692
2021-05 ,1874329,526726,4429847,688,12921,16733
2021-06 ,1738161,393852,4077483,701,12871,16981
2021-07 ,1740784,395644,4106754,704,13063,17430
2021-08 ,1751624,400848,4768220,705,13235,17355
2021-09 ,1755958,400036,4066857,710,13207,17378
2021-10 ,1759426,408494,4759637,710,13283,17322
2021-11 ,1757669,414912,4776534,711,13317,17635
2021-12 ,1756642,418081,4128904,713,13210,17453
2022-01 ,1674950,422316,4887406,685,12859,17183
2022-02 ,1677723,424319,4886097,685,12920,17274
2022-03 ,1673356,422946,4883746,692,12923,17254
2022-04 ,1680173,423236,4864251,642,12997,17103
2022-05 ,1683023,423771,4863636,550,12993,16986
2022-06 ,1688294,425567,4874453,543,13045,17056
2022-07 ,1699653,436220,4927444,530,13169,17131
2022-08 ,1710100,421489,4877672,533,13236,17356
2022-09 ,1658180,418381,4794641,531,12991,16880
2022-10 ,1584199,374031,4418982,594,12427,16639
2022-11 ,1600041,378420,4452950,595,12540,16652
2022-12 ,1595724,378863,4427069,595,12576,16812
2023-01 ,1635703,372934,4503893,590,12744,16859
2023-02 ,1597234,375471,4429091,589,12479,16614
2023-03 ,1509962,365606,4275451,587,12337,16334
